,2,Describa varios sistemas de numeración antiguos y compare su practicidad, 
,2,¿Los sistemas de numeración antiguos hubieran permitido la evolución de las matemáticas?,
,2,¿Qué es un sistema de numeración?,
,2,¿Cuáles son los sistemas numéricos usados en informática?,
,2,"¿Cuál es el sistema numérico predominante en los dispositivos electrónicos, entre ellos el computador?",
,2,¿Cuáles son los pasos para convertir de una base a otra?,
,2,¿Cuál es el sistema de numeración más importante?,
,2,¿Qué resultado entrega la siguiente expresión? 111011112 - 100111102<= 7A16,
,2,¿Cuál es el valor de verdad de esta expresión? (3-522 >7+42)(9343<78-205) ,
,2,"¿Cuántos números primos hay entre 1 y 25, entre 26 y 50, 51 y 75, 76 y 100? ¿Cómo se comporta el patrón, disminuyen o aumentan en cada intervalo?",
,2,¿Cómo se aplican los sistemas numéricos en las ciencias computacionales?,
,2,¿Qué importancia tiene la lógica matemática en la informática? ¿Cómo se aplica ésta en computación?,
,2,"¿En lógica proposicional, qué es una tautología, una contradicción y una indeterminación?",
,2,"¿Qué métodos de demostración existen en lógica proposicional para saber si una proposición es una tautología, una contradicción y una indeterminación?",
,2,"Indicar si la siguiente expresión es una tautología, contradicción o incertidumbre:",
,2,"Indicar si la siguiente expresión es una tautología, contradicción o incertidumbre: (v) Y (No (f) O (f)) ",
,2,"Indicar si la siguiente expresión es verdadera, falsa o no tiene sentido: (f) O No (No (""a"">""b"")) Y (5*-8<0)",
,2,"Determine el valor de verdad de la siguiente expresión si:a=(f), b=(v), c=(v); No(a) Y No(b O (c No(a))) ",
,2,"Falso o verdadero; justifique. Sabiendo que p(qr) es falsa, entonces el valor de verdad de [p(qr)] es verdadero",
,2,"Falso o verdadero; justifique. Sabiendo que r es falsa y p(qr) es verdadera, entonces el valor de verdad de r(qp) es falso",
,2,"Falso o verdadero; justifique. Si la proposición qp es falsa, entonces la proposición pq es verdadera",
,2,Falso o verdadero,
